CN,DESCRIPTION,CAT,SCAT,UNITS,R,THETA,Z,SPAN,SETTINGANGLE
CLSDP,Backface labyrinth seal differential pressure,AERO,DP,PSID,,,,,
PO011,Orifice static pressure 1,AERO,PS,PSIA,,,,,
PO012,Orifice static pressure 2,AERO,PS,PSIA,,,,,
PO013,Orifice differential pressure 1,AERO,DP,PSID,,,,,
PO014,Orifice differential pressure 2,AERO,DP,PSID,,,,,
CVP,Collector valve position in percent closed,AERO,MISC,PCT,,,,,
RH0,"Relative humidity, measured at inlet plenum",AERO,RH,PCT,,,,,
P1101,Inlet shroud static pressure,AERO,PS,PSIA,8.51,315.0,-11.18,100.0,
P1102,Inlet shroud static pressure,AERO,PS,PSIA,7.92,315.0,-10.38,100.0,
P1103,Inlet shroud static pressure,AERO,PS,PSIA,7.300000000000001,315.0,-9.37,100.0,
P1104,Inlet shroud static pressure,AERO,PS,PSIA,6.83,315.0,-8.71,100.0,
P1105,Inlet shroud static pressure,AERO,PS,PSIA,5.96,315.0,-7.340000000000001,100.0,
P1106,Inlet shroud static pressure,AERO,PS,PSIA,4.683469,32.0,-3.799587,100.0,
P1107,Inlet shroud static pressure,AERO,PS,PSIA,4.436287,32.0,-2.830822,100.0,
P1108,Inlet shroud static pressure,AERO,PS,PSIA,4.269901,32.0,-1.845166,100.0,
P1109,Inlet shroud static pressure,AERO,PS,PSIA,4.210163,32.0,-0.847518,100.0,
P1110,Inlet shroud static pressure,AERO,PS,PSIA,4.224384,32.0,-0.347791,100.0,
P1111,Inlet shroud static pressure,AERO,PS,PSIA,4.242467,32.0,-0.098455,100.0,
P1201,Inlet shroud static pressure,AERO,PS,PSIA,8.51,135.0,-11.18,100.0,
P1202,Inlet shroud static pressure,AERO,PS,PSIA,7.92,135.0,-10.38,100.0,
P1203,Inlet shroud static pressure,AERO,PS,PSIA,7.300000000000001,135.0,-9.37,100.0,
P1204,Inlet shroud static pressure,AERO,PS,PSIA,6.83,135.0,-8.71,100.0,
P1205,Inlet shroud static pressure,AERO,PS,PSIA,5.96,135.0,-7.340000000000001,100.0,
P1206,Inlet shroud static pressure,AERO,PS,PSIA,4.683469,212.0,-3.799587,100.0,
P1207,Inlet shroud static pressure,AERO,PS,PSIA,4.436287,212.0,-2.830822,100.0,
P1208,Inlet shroud static pressure,AERO,PS,PSIA,4.269901,212.0,-1.845166,100.0,
P1209,Inlet shroud static pressure,AERO,PS,PSIA,4.210163,212.0,-0.847518,100.0,
P1210,Inlet shroud static pressure,AERO,PS,PSIA,4.224384,212.0,-0.347791,100.0,
P1211,Inlet shroud static pressure,AERO,PS,PSIA,4.242467,212.0,-0.098455,100.0,
P0001,Inlet total pressure 1,AERO,PT,PSIA,,,,,
